b'1.',"b'The Law of Contract (Amendment) Bill, 2019'",b'Waititu Francis Munyua',b'No. 1 of 2019',b'28/01/19',b'10/02/19',b'3',b'13/02/19',b'26/6/20193/7/2019Committee on 18/09/19',b'18/09/19',b'Passed',b'-'
b'42.',"b'The Finance Bill, 2019'","b'J.K. Limo, Chairperson, Departmental Committee on Finance and National Planning'",b'No. 51 of 2019',b'01/07/19',b'14/07/19',b'104',b'23/07/19',b'-',b'-',b'-',b'07/11/19'
b'43.',"b'The Constitution of Kenya (Amendment) Bill, 2019'","b'G. B. Shollei, Member of Parliament'",b'No. 53 of 2019',b'04/07/19',b'17/07/19',b'108',b'24/07/19',b'',b'-',b'-',b'-'
b'44.',"b'The Land (Amendment) Bill, 2019'","b'Aden Duale, Leader of Majority'",b'No. 54 of 2019',b'04/07/19',b'17/07/19',b'109',b'24/07/19',b'',b'-',b'-',b'-'
b'45.',"b'The Banking (Amendment) Bill, 2019'","b'Jude Njomo, Member of Parliament'",b'No. 55 of 2019',b'05/07/19',b'18/07/19',b'110',b'24/07/19',b'',b'-',b'-',b'-'
b'46.',"b'The Parliamentary Pensions (Amendment)(No. 3) Bill, 2019'",b'Andrew Mwadime',b'No. 57 of 2019',b'09/07/19',b'22/07/19',b'115',b'24/07/19',b'24/07/19',b'-',b'-',b'-'
b'47.',"b'The National Government Constituencies Development Fund (Amendment) Bill, 2019'","b'D.E. SIMIYU, Member of Parliament'",b'No. 58 of 2019',b'12/07/19',b'-',b'118',b'-',b'-',b'-',b'-',b'-'
b'48.',"b'The Division Revenue (No. 2) Bill, 2019'","b""Kimani Ichung'wah, Chairperson, Budget and Appropriations Committee""",b'No. 59 of 2019',b'16/07/19',b'22/07/19',b'119',b'23/07/19',b'25/07/19Committee stage: ',b'25/07/19',b'Passed; ',b'-'
b'49.',"b'The Kenya Information and Communication (Amendment) Bill, 2019'","b'M. M. Injendi, Member of Parliament'",b'No. 61 of 2019',b'24/07/19',b'-',b'125',b'-',b'-',b'-',b'-',b'-'
b'50.',"b'The Refugees Bill, 2019'","b'Aden Duale, Leader of the Majority Party, National Assembly'",b'No. 62 of 2019',b'26/07/19',b'-',b'126',b'26/07/19',b'08/08/19',b'-',b'-',b'-'
b'51.',"b'The Public Finance Management (Amendment) Bill, 2019'","b""Kimani Ichung'wah, Chairperson, Budget and Appropriations Committee""",b'No. 63 of 2019',b'02/08/19',b'-',b'135',b'-',b'-',b'-',b'-',b'-'
b'52.',"b'The Public Fundraising Appeals Bill, 2019'","b'Jeremiah Kioni, Chairperson, Constitutional Implementation Oversight Committee'",b'No. 66 of 2019',b'17/09/19',b'-',b'157',b'-',b'-',b'-',b'-',b'-'
b'53.',"b'The Sugar Bill, 2019'","b'Wafula Wamunyinyi, Member of Parliament'",b'No. 68 of 2019',b'02/10/19',b'15/10/19',b'166',b'30/10/19',b'-',b'-',b'-',b'-'
b'54.',"b'The Alcoholic Drinks Control (Amendment) Bill, 2019 '","b'Silvanus Osoro Onyiego, Member of Parliament'",b'No. 70 of 2019',b'04/10/19',b'17/10/19',b'168',b'30/10/19',b'-',b'-',b'-',b'-'
b'55.',"b'The Waqf Bill, 2019'","b'Aden Duale, Leader of the Majority Party'",b'No. 73 of 2019',b'18/10/19',b'31/10/19',b'176',b'06/11/19',b'-',b'-',b'-',b'-'
b'1',"b'The Warehouse Receipt System Bill, 2018'","b'Aden Duale, Leader of Majority'",b'No. 2 of 2018',b'\xc2\xa007/02/2018',b'\xc2\xa020/02/2018',b'6',b'21/02/2018',b'\xc2\xa0-',b'\xc2\xa0-',b'-',b'\xc2\xa0-'
b'2',"b'The Land Value Index Laws (Amendment) Bill, 2018'","b'Aden Duale, Leader of Majority'",b'No. 3 of 2018',b'12/02/2018',b'25/02/2018',b'9',b'27/02/2018',b'04/07/1824/07/1826/07/1831/07/18Committee Stage07/08/1808/08/18',b'08/08/18',b'Passed; Forwarded to the Senate for consideration\xc2\xa0 29/08/18',b'-'
b'3',"b'The Constitution of Kenya (Amendment) Bill, 2018'","b'Aden Duale, Leader of Majority'",b'No. 4 of 2018',b'12/02/2018',b'25/02/2018',b'10',b'27/02/2018',b'-',b'-',b'-',b'-'
b'4',"b'The Constitution of Kenya (Amendment)(No. 2) Bill, 2018'","b'Chris Wamalwa, Member of Parliament'",b'No. 5 of 2018',b'22/02/2018',b'07/03/2018',b'13',b'14/03/2018',b'29/08/1803/10/1817/10/18',b'-',b'Bill lost at 2nd Reading',b'-'
b'5',"b'The Parliamentary Service Bill, 2018'","b'Aden Duale, Leader of Majority'",b'No. 6 of 2018',b'23/02/2018',b'08/03/2018',b'14',b'13/03/2018',b'-',b'-',b'-',b'-'
b'6',"b'The Division of Revenue Bill, 2018'","b""Kimani Ichung'wa, Chairperson, Budget and Appropriations Committee""",b'No. 7 of 2018',b'06/03/2018',b'12/03/2018',b'18',b'13/03/2018',b'15/03/18Committee Stage 15/03/18',b'20/03/18',b'Passed; Referred back by the Senate 29/03/18',b'10/04/18'
b'7',"b'Government Contracts Bill, 2018'","b'Aden Duale, Leader of Majority'",b'No. 9 of 2018',b'10/04/2018',b'23/04/2018',b'32',b'24/04/2018',b'-',b'-',b'-',b'-'
b'8',"b'County Governments Retirement Scheme Bill, 2018'","b'Aden Duale, Leader of Majority'",b'No. 10 of 2018',b'10/04/2018',b'23/04/2018',b'33',b'18/04/2018',b'03/07/1804/07/18Committee Stage Pending16/10/1817/10/18',b'17/10/18',b'Passed; to be forwarded to the Senate for consideration on 08/11/18',b'-'
b'9',"b'Tax Laws (Amendment) Bill, 2018'","b'Aden Duale, Leader of Majority'",b'No. 11 of 2018',b'10/04/2018',b'23/04/2018',b'34',b'18/04/2018',b'14/04/2018 19/06/1821/06/18Committee Stage27/06/1828/06/18',b'28/06/18',b'Passed',b'18/07/18'
b'10',"b'Statute Law (Miscellaneous Amendments) Bill, 2018'","b'Aden Duale, Leader of Majority'",b'No. 12 of 2018',b'10/04/2018',b'23/04/2018',b'35',b'18/04/2018',b'07/08/1808/08/18Committee Stage Pending14/11/1815/11/18(Ongoing)',b'-',b'-',b'-'
b'11',"b'Statute Law (Miscellaneous Amendments) (No. 2) Bill, 2018'","b'Aden Duale, Leader of Majority'",b'No. 13 of 2018',b'10/04/2018',b'23/04/2018',b'36',b'18/04/2018',b'08/11/1813/11/18(Ongoing)',b'-',b'-',b'-'
b'12',"b'The Health Laws (Amendment) Bill, 2018'","b'Aden Duale, Leader of Majority'",b'No. 14 of 2018',b'10/04/2018',b'23/04/2018',b'36',b'26/04/2018',b'02/10/1803/10/18Committee Stage\xc2\xa024/10/1825/10/18(ongoing)',b'07/11/18',b'Passed',b'-'
b'13',"b'The Equalization Fund Appropriation Bill, 2018'","b""Kimani Ichungw'ah, Chairperson, Budget and Appropriations Committee""",b'No. 16 of 2018',b'03/05/2018',b'03/05/2018',b'47',b'03/05/2018',b'03/05/2018 Committee Stage 03/05/2018',b'03/05/2018',b'Passed',b'04/05/2018'
b'14',"b'The Kenya Accreditation Service Bill, 2018'","b'Aden Duale, Majority Leader, National Assembly'",b'No. 17 of 2018',b'07/06/2018',b'20/06/18',b'70',b'26/06/18',b'-',b'-',b'-',b'-'
b'15',"b'The Sacco Societies (Amendment) Bill, 2018'","b'Joseph Limo, Chairperson, Committee on Finance and National Planning'",b'No. 18 of 2018',b'19/06/2018',b'02/07/18',b'74',b'03/07/18',b'-',b'-',b'-',b'-'
b'16',"b'The Capital Markets (Amendment) Bill, 2018'","b'Joseph Limo, Chairperson, Committee on Finance and National Planning'",b'No. 19 of 2018',b'19/06/2018',b'02/07/18',b'75',b'03/07/18',b'-',b'-',b'-',b'-'
b'17',"b'The Finance Bill, 2018'","b'Joseph Limo, Chairperson, Committee on Finance and National Planning'",b'No. 20 of 2018',b'19/06/2018',b'02/07/18',b'76',b'03/07/18',"b""23/08/1828/08/18Committee Stage29/08/1830/08/18President's Reservations20/10/18""",b'30/08/18',"b""Passed; President's Reservations Passed20/09/18""",b'-'
b'18',"b'The Insurance (Amendment) Bill, 2018'","b'Joseph Limo, Chairperson, Committee on Finance and National Planning'",b'No. 21 of 2018',b'19/06/2018',b'02/07/18',b'77',b'03/07/18',b'-',b'-',b'-',b'-'
b'19',"b'The Supplementary Appropriation (No. 2) Bill, 2018'","b""Kimani Ichung'wah, Member of Parliament""",b'No. 23 of 2018',b'20/09/18',b'27/09/18',b'119',b'03/10/18',b'17/10/1818/10/18Committee Stage:18.10.18',b'18/10/18',b'Passed',b'23/10/18'
b'20',"b'The National Youth Service Bill, 2018'","b'Aden Duale, Leader of the Majority Party, National Assembly'",b'No. 26 of 2018',b'26/10/18',b'09/11/18',b'134',b'14/11/18',b'-',b'-',b'-',b'-'
b'21',"b'The Nuclear Regulatory Bill, 2018'","b'Aden Duale, Leader of the Majority Party'",b'No. 27 of 2018',b'19/11/18',b'-',b'143',b'-',b'-',b'-',b'-',b'-'
b'1',"b'The Office of the Attorney General (Amendment) Bill, 2017'","b""Samuel Chepkong'a, Chairperson, Justice and Legal Affairs Committee""",b'No. 1 of 2017',b'06/01/17',b'19/01/17',b'1',b'25/01/17',b'29/3/17;4/4/17Committee stagePending',b'-',b'-',b'-'
b'2',"b'The Division of Revenue Bill, 2017'","b'Mutava Musyimi, Chairperson, Budget and Appropriations Committee'",b'No. 2 of 2017',b'06/01/17',b'19/11/17',b'2',b'25/01/17',b'2/2/17;7/2/17Committee Stage;9/2/17',b'14/2/17',b'Passed; referred back by the Senate on 14/3/17; Senate amendments considered on 23/3/17 and 28/3/17 and rejected;Bill lost at a mediation Committee; to be republished',b'-'
b'3',"b'The Constitution of Kenya (Amendment) Bill, 2017'","b'Bonface Otsiula, Member of Parliament'",b'No. 3 of 2017',b'11/01/17',b'24/01/17',b'3',b'25/01/17',b'-',b'-',b'-',b'-'
b'4',"b'The Kenya Trade Remedies Bill, 2017'","b'David O Ochieng, Member of Parliament'",b'No. 4 of 2017',b'30/01/17',b'12/02/17',b'11',b'15/02/17',b'17/5/17;18/5/17Committee Stage:14/6/17',b'14/06/17',b'Passed',b'-'
b'5',"b'The Nairobi International Financial Centre Bill, 2017'","b'Aden Duale, Leader of the Majority Party'",b'No. 5 of 2017',b'17/02/17',b'02/03/17',b'14',b'02/03/17',b'11/5/17;16/5/17.Committee Stage:14/6/17',b'15/06/17',b'Passed',b'-'
b'6',"b'The Housing (Amendment) Bill, 2017'","b'Ababu Namwamba, Member of Parliament'",b'No. 6 of 2017',b'17/02/17',b'02/03/17',b'15',b'02/03/17',b'-',b'-',b'-',b'-'
b'7',"b""The President's Award Bill, 2017""","b'Aden Duale, The Leader of Majority, The National Assembly'",b'No. 7 of 2017',b'17/02/17',b'02/03/17',b'16',b'02/03/17',b'16/5/17;17/5/17.Committee Stage:15/6/17',b'15/06/17',b'Passed',b'-'
b'8',"b'The Legal Metrology Bill, 2017'","b'Aden Duale, The Leader of Majority, The National Assembly'",b'No. 8 of 2017',b'22/02/17',b'07/03/17',b'18',b'14/03/17',b'16/5/17;17/5/17.Committee Stage:14/6/17',b'15/06/17',b'Passed',b'-'
b'9',"b'The Statute Law (Miscellaneous Amendments) Bill, 2017'","b'Aden Duale, Leader of Majority'",b'-',b'21/04/17',b'-',b'21',b'-',b'-',b'-',b'-',b'-'
b'10',"b'The Elections Laws (Amendment) Bill, 2017'","b""Samuel Chepkong'a, Chairperson, Justice and Legal Affairs Committee""",b'No. 10 of 2017',b'03/03/17',b'14/03/17',b'22',b'14/03/17',b'-',b'-',b'-',b'-'
b'11',"b'The National Cohesion and Integration (Amendment) Bill, 2017'","b""Samuel Chepkong'a, Chairperson, Justice and Legal Affairs Committee""",b'No. 11 of 2017',b'10/03/17',b'23/03/17',b'26',b'23/03/17',b'-',b'-',b'-',b'-'
b'12',"b'The Breastfeeding Mothers Bill, 2017'","b'Sabina Chege, Member of Parliament'",b'No. 13 of 2017',b'30/03/17',b'12/04/17',b'37',b'10/05/17',b'31/5/1714/6/1715/6/17.Committee Stage:Pending',b'-',b'-',b'-'
b'13',"b'The Employment (Amendment) Bill, 2017'","b'Kinoti Gatobu, Member of Parliament'",b'No. 14 of 2017',b'30/03/17',b'-',b'38',b'10/05/17',b'-',b'-',b'-',b'-'
b'14',"b'The Appropriation Bill, 2017'","b'Mutava Musyimi, Chairperson, Budget and Appropriations Committee\xc2\xa0'",b'No. 15 of 2017',b'31/03/17',b'04/04/17',b'39',b'04/04/17',b'4/4/17;5/4/17Committee Stage:5/4/176/4/17',b'06/04/17',b'Passed',b'Assented to'
b'15',"b'The Finance Bill, 2017'","b""Benjamin Lang'at, Chairperson, Departmental Committee on Finance, Planning and Trade""",b'No. 16 of 2017',b'03/04/17',b'05/04/17',b'40',b'05/04/17',b'9/5/17;10/5/17Committee Stage:25/5/1730/5/17',b'30/05/17',b'Passed',b'Presidential Memoranda received on 14/6/2017NA considered and passed the memorandum on 15/6/2017'
b'16',"b'The Insurance (Amendment) Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 17 of 2017',b'06/04/17',b'06/04/17',b'45',b'06/04/17',b'10/5/17;11/5/17.Committee Stage:25/5/1730/5/17',b'30/05/17',b'Passed',b'-'
b'17',"b'The Parliamentary Service Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 18 of 2017',b'07/04/17',b'20/04/17',b'47',b'09/04/17',b'-',b'-',b'-',b'-'
b'18',"b'The Nutritionist and Dieticians (Amendment) Bill, 2017'","b'Mary Emaase, Member of Parliament'",b'No. 19 of 2017',b'11/04/17',b'24/07/17',b'48',b'10/05/17',b'-',b'-',b'-',b'-'
b'19',"b'The Wildlife Conservation and Management (Amendment) Bill, 2017'","b'Amina Abdalla, Chairperson, Environment and Natural Resources Committee'",b'No. 20 of 2017',b'11/04/17',b'24/04/17',b'49',b'09/05/17',b'-',b'-',b'-',b'-'
b'20',"b'The Companies (Amendment) Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 23 of 2017',b'12/05/17',b'25/05/17',b'70',b'25/05/17',b'31/5/176/6/177/6/17Committee Stage:7/6/178/6/17',b'08/06/17',b'Passed',b'-'
b'21',"b""The County Governments' Retirement Scheme Bill, 2017""","b'Roba Duba, Member of Parliament'",b'No. 24 of 2017',b'19/05/17',b'01/06/17',b'75',b'07/06/17',b'-',b'-',b'-',b'-'
b'22',"b'The Building Surveyors Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 25 of 2017',b'19/05/17',b'01/06/17',b'76',b'06/06/17',b'-',b'-',b'-',b'-'
b'23',"b'The Election Offences (Amendment) Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 26 of 2017',b'23/05/17',b'-',b'79',b'-',b'-',b'-',b'-',b'-'
b'24',"b'The Basic Education (Amendment) Bill, 2017'","b'Chris Wamalwa,Member of Parliament.'",b'No. 27 of 2017',b'30/05/17',b'-',b'85',b'14/06/17',b'-',b'-',b'-',b'-'
b'25',"b'The Computer and Cybercrimes Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 29 of 2017',b'13/06/17',b'26/06/17',b'91',b'-',b'-',b'-',b'-',b'-'
b'26',"b'The\xc2\xa0Public Finance Management (Amendment) Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 31 of 2017',b'16/06/17',b'-',b'94',b'-',b'-',b'-',b'-',b'-'
b'26',"b'The Public Trustee (Amendment) Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 32 of 2017',b'18/09/17',b'29/09/17',b'141',b'28/09/17',b'30/11/17;5/12/17;6/12/17.Committee Stage:29/03/2018',b'29/03/18',b'Passed',b'-'
b'28',"b'The Copyright (Amendment) Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 33 of 2017',b'18/09/17',b'27/09/17',b'142',b'28/09/17',b'30/11/17;5/12/17;6/12/17.26/07/18',b'25/07/18',b'Passed; forwarded to the Senate for consideration 29/08/18',b'-'
b'29',"b'The Physical Planning Bill, 2017'","b'Aden Duale, Leader of the Majority Party'",b'No. 34 of 2017',b'18/09/17',b'27/09/17',b'143',b'11/10/17',b'30/12/17;14/12/17;6/12/17.Committee Stage:26/04/2018',b'03/05/2018',b'Passed; Forwarded to the Senate for consideration on 14/05/2018',b'-'
b'30',"b'The Building Surveyors Bill, 2017'","b'Aden Duale, Leader of the Majority Party'",b'No. 35 of 2017',b'25/09/17',b'08/10/17',b'144',b'11/10/17',b'5/12/176/12/1713/12/1714/12/17Committee Stage: 16/08/1822/08/18',b'22/08/18',b'Passed',b'-'
b'31',"b'The Statute Law (Miscellaneous Amendments)(No.2) Bill, 2017'","b'Aden Duale, Leader of the Majority Party'",b'No. 37 of 2017',b'27/09/17',b'10/10/17',b'146',b'11/10/17',b'-',b'-',b'Bill withdrawn on 20/02/2018',b'-'
b'32',"b'The Election Offences (Amendment) Bill, 2017'","b'Aden Duale, Leader of the Majority Party'",b'No. 38 of 2017',b'27/09/17',b'27/09/17',b'147',b'28/09/17',b'-',b'-',b'-',b''
b'33',"b'The Election Laws (Amendment) Bill, 2017'","b'William Cheptumo, Member of Parliament'",b'No. 39 of 2017',b'27/09/17',b'27/09/17',b'148',b'28/09/17',b'10/10/17Committee Stage:11/10/17',b'11/10/17',b'12/10/2017 Passed',"b'Bill passed by the Senate without amendment and referred to the NA Bill deemed to have been assented to by operation of the law, pursuant to Art 115(6) Act gazette on 2/11/2017 '"
b'34',"b'The Petroleum (Exploration, Development and Production) Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 40 of 2017',b'25/09/17',b'08/10/17',b'150',b'08/11/17',b'-',b'-',b'Bill withdrawn by the mover pursuant to SO 140',b'-'
b'35',"b'The Energy Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 41 of 2017',b'04/10/17',b'17/10/17',b'151',b'08/11/17',b'-',b'-',b'Bill withdrawn by the mover pursuant to SO 140',b'-'
b'36',"b'The Supplementary Appropriation (No. 3) Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 42 of 2017',b'11/10/17',b'11/10/17',b'156',b'12/10/17',b'12/10/17Committee Stage:12/10/17',b'12/10/17',b'Passed',b'Assented to'
b'37',"b'The Nairobi Metropolitan Area Transport Authority Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 43 of 2017',b'17/10/17',b'30/10/17',b'160',b'08/11/17',"b'15/03/18, 20/03/18. Question for 2nd Reading deferred on 21/03/2018 pursuant to SO 53(3)'",b'-',b'Bill withdrawn on 22/03/2018 by Mover pursuant to SO 140',b'-'
